NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
25,1,2,,,,,,,,,,,,2,0,0,1,23,1,20,,2,2,,,,,,,,58,,2,30
25,2,2,,,,,,,,,,,,2,0,0,1,25,1,17,,2,2,,,,,,,,60,,2,20
25,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
34,1,2,,,,,,,,,,,,2,0,0,1,24,1,25,,2,2,,,,,,,,,,,
34,2,2,,,,,,,,,,,,2,0,0,1,23,1,32,,2,2,,,,,,,,60,,1,0
34,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
34,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
38,1,2,,,,,,,,,,,,2,0,0,2,14,1,7,,2,2,,,,,,,,,,,
123,1,2,,,,,,,,,,,,2,0,0,3,10,1,36,,2,2,,,,,,,,57,,1,0
123,2,2,,,,,,,,,,,,2,0,0,1,10,1,2,,2,2,,,,,,,,,,,
123,3,2,,,,,,,,,,,,2,0,0,1,14,1,5,,2,2,,,,,,,,65,,1,0
123,4,2,,,,,,,,,,,,2,0,0,1,17,1,7,,2,2,,,,,,,,65,,1,0
123,5,2,,,,,,,,,,,,2,0,0,1,21,1,1,,2,2,,,,,,,,65,,1,0
123,6,2,,,,,,1,,,,1,,2,0,0,0,,,,,,,,,,,,,,,,,
123,7,2,,,,,,,,,,,,2,0,0,1,8,1,30,,2,2,,,,,,,,,,,
126,1,2,,,,,,,,,,,,2,0,0,1,9,1,35,,2,2,,,,,,,,52,,1,0
126,2,2,,,,,,1,,,,,,2,0,0,1,14,1,8,,2,2,,,,,,,,,,,
126,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
126,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,1,2,,,,,,,,,,,,2,0,0,1,24,1,24,,2,2,,,,,,,,65,,1,0
173,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
304,1,2,,,,,,,,,,,,2,0,0,1,24,1,12,,2,2,,,,,,,,65,,1,0
304,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
325,1,2,,,,,,,,,,,,2,0,0,1,10,1,20,,2,2,,,,,,,,,,,
325,2,2,,,,,,,,,,,,2,0,0,2,16,1,20,,1,2,1,5,3,5,5,5,,65,30,1,0
375,1,2,,,,,,,,,,,,2,0,0,2,13,1,40,,2,2,,,,,,,,,,,
375,2,2,,,,,,,,,,,,2,0,0,1,26,1,16,,2,2,,,,,,,,,,,
376,1,2,,,,,,,,,,,,2,0,0,2,27,1,28,,2,2,,,,,,,,65,,1,0
376,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
376,3,2,,,,,,,,,1,,,1,2,2,0,,,,,,,,,,,,,,,,,
376,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
424,1,2,,,,,,,,,,,,2,0,0,2,14,1,47,,2,2,,,,,,,,,,,
465,1,2,,,,,,,,,,,,2,0,0,2,18,1,20,,2,2,,,,,,,,65,30,1,0
465,2,2,,,,,,,,,,,,2,0,0,2,18,1,20,,2,2,,,,,,,,60,30,1,0
465,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
474,1,2,,,,,,,,,,,,2,0,0,1,15,1,38,,2,2,,,,,,,,,,,
558,1,2,,,,,,,,,,,,2,0,0,2,10,1,20,,2,2,,,,,,,,65,37,1,0
558,2,1,,,,,,,,,,,,1,1,0,8,15,1,5,,1,2,3,1,1,1,2,2,,65,21,1,0
558,3,2,,,,,,,,,,,,2,0,0,1,17,1,2,,2,2,,,,,,,,60,,1,0
561,1,2,,,,,,,,,,,,2,0,0,3,22,1,22,,2,2,,,,,,,,70,46,1,0
561,2,2,,,,,,,,,,,,2,0,0,1,13,1,5,,2,2,,,,,,,,,,,
561,3,2,,,,,,,,,,,,2,0,0,2,24,1,2,,2,2,,,,,,,,70,26,1,0
561,4,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
629,1,2,,,,,,,,,,,,2,0,0,1,15,1,42,,2,2,,,,,,,,58,,1,0
629,2,2,,,,,,,,,,,,2,0,0,1,20,1,5,,2,2,,,,,,,,65,,1,0
629,3,2,,,,,,,,,,,,2,0,0,1,14,1,10,,2,2,,,,,,,,65,,1,0
632,1,2,,,,,,,,,,,,2,0,0,1,22,1,25,,2,2,,,,,,,,60,,2,30
632,2,2,,,,,,,,,,,,2,0,0,4,18,1,7,,1,2,5,4,4,4,4,4,,60,37,1,0
632,3,1,,,,,,,,,,,,1,1,0,1,19,1,0.6666666667,8,2,2,,,,,,,,60,,1,0
633,1,2,,,,,,,,,,,,2,0,0,1,25,1,36,,2,2,,,,,,,,,,,
633,2,2,,,,,,,,,,,,2,0,0,3,14,1,15,,2,2,,,,,,,,,,,
686,1,2,,,,,,,,,,,,2,0,0,2,15,1,35,,2,2,,,,,,,,,,,
701,1,2,,,,,,,,,,,,2,0,0,3,22,1,25,,2,2,,,,,,,,60,30,1,0
701,2,2,,,,,,,,,,,,2,0,0,1,19,1,20,,2,2,,,,,,,,,,,
701,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
823,1,2,,,,,,,,,,,,2,0,0,1,20,1,17,,2,2,,,,,,,,60,,2,30
823,2,2,,,,1,,,,,,,,2,0,0,2,16,1,6,,2,2,,,,,,,,,,,
824,1,2,,,,,,,,,,,,2,0,0,2,12,1,12,,2,2,,,,,,,,,,,
824,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
905,1,2,,,,,,,,,,,,2,0,0,3,15,1,23,,2,2,,,,,,,,57,21,1,0
905,2,2,,,,,,,,,,,,2,0,0,2,21,1,10,,1,2,3,3,3,4,2,2,,60,27,1,0
912,1,1,,,,,,,,,,,,2,0,0,1,16,1,15,,1,2,1,2,2,2,3,2,,,,,
912,2,2,,,,,,,,,,,,2,0,0,2,16,1,18,,1,1,3,3,2,2,3,2,,55,32,2,7
923,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
923,2,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1084,1,2,,,,,,,,,,,,2,0,0,3,27,1,24,,2,2,,,,,,,,65,29,2,7
1084,2,2,,,,,,,,,,,,2,0,0,1,21,1,23,,2,2,,,,,,,,60,,2,4
1084,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1120,1,2,,,,,,,,,,,,2,0,0,3,28,1,25,,2,2,,,,,,,,60,29,2,3
1120,2,2,,,,,,,,,,,,2,0,0,3,18,1,30,,2,2,,,,,,,,60,40,1,0
1120,3,2,,,,,,,,,,,,2,0,0,1,,,,,2,2,,,,,,,,,,,
1120,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1137,1,2,,,,,,,,,,,,2,0,0,3,12,1,30,,2,2,,,,,,,,,,,
1137,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,1,1,,,,,,,,,,,,2,0,0,3,15,1,25,,2,1,4,4,3,4,4,3,,65,39,1,0
1238,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1361,1,2,,,,,,,,,,,,2,0,0,2,19,1,40,,2,2,,,,,,,,,,,
1361,2,2,,,,,,,,,,,,2,0,0,2,24,1,32,,1,2,3,2,3,3,5,3,,,,,
1361,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1367,1,2,,,,,,,,,,,,2,0,0,5,7,1,30,,2,2,,,,,,,,,,,
1367,2,2,,,,,,,,,,,,2,0,0,1,23,1,7,,2,2,,,,,,,,,,,
1371,1,2,,,,,,,,,,,,2,0,0,3,13,1,28,,2,2,,,,,,,,60,21,2,6
1371,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1371,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1371,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1387,1,2,,,,,,,,,,,,2,0,0,1,15,1,40,,2,2,,,,,,,,,,,
1387,2,2,,,,,,,,,,,,2,0,0,1,15,1,40,,2,2,,,,,,,,,,,
1391,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1492,1,2,,,,,,,,,,,,2,0,0,2,20,1,,,2,2,,,,,,,,,,,
1492,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1742,1,2,,,,,,,,,,,,2,0,0,1,25,1,38,,2,2,,,,,,,,,,,
1742,2,2,,,,,,,,,,,,2,0,0,1,51,1,2,,2,2,,,,,,,,,,2,7
1742,3,2,,,,,,,,,,,,2,0,0,1,25,1,2,,2,2,,,,,,,,,,1,0
1742,4,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1750,1,2,,,,,,,,,,,,2,0,0,1,22,1,40,,2,2,,,,,,,,72,,1,0
1759,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1762,1,1,,,,,,,,,,,,2,0,0,1,25,1,25,,1,2,3,2,3,3,2,1,,,,,
1763,1,2,,,,,,,,,,,,2,0,0,1,18,1,30,,2,2,,,,,,,,65,,1,0
1763,2,2,,,,,,,,,,,,2,0,0,1,18,1,20,,1,1,2,4,3,3,3,3,2,65,,1,0
1763,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1763,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1817,1,2,,,,,,,,,,,,2,0,0,3,14,1,46,,2,2,,,,,,,,,,,
1817,2,2,,,,,,,,,,,,2,0,0,2,14,1,15,,2,2,,,,,,,,,,,
1826,1,2,,,,,,,,,,,,2,0,0,4,13,1,28,,2,2,,,,,,,,67,,1,0
1826,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1927,1,2,,,,,,,,,,,,2,0,0,6,16,1,12,,1,2,3,3,3,3,3,3,,62,56,1,0
1927,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1946,1,2,,,,,,,,,,,,2,0,0,2,20,2,0,0,2,2,,,,,,,,,,,
1946,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1946,3,1,,,,,,,,,,,,2,0,0,2,15,1,25,,1,2,2,3,3,2,3,2,,,,,
1946,4,2,,,,,,,,,,,,2,0,0,2,15,1,20,,2,2,,,,,,,,65,29,2,15
1946,5,2,1,,,,,,,,,,,2,0,0,1,20,1,3,,2,2,,,,,,,,,,,
1953,1,2,,,,,,,,,,,,2,0,0,5,16,1,35,,1,2,5,3,3,3,3,1,,,,,
1953,2,2,,,,,,,,,,,,2,0,0,3,22,1,15,,2,2,,,,,,,,,,,
1988,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1989,1,2,,,,,,,,,,,,2,0,0,1,17,1,6,,2,2,,,,,,,,,,,
1989,2,2,,,,,,,,,,,,2,0,0,2,11,1,25,,2,2,,,,,,,,,,,
2178,1,1,,,,,,,,,,,,2,0,0,2,18,1,18,,2,2,,,,,,,,65,,2,30
2178,2,2,,,,,,,,,,,,2,0,0,1,18,1,30,,2,2,,,,,,,,,,,
2178,3,2,,,,,,,,,,,,2,0,0,1,25,1,27,,2,2,,,,,,,,,,,
2274,1,2,,,,,,,,,,,,2,0,0,1,15,1,30,,2,2,,,,,,,,,,,
2274,2,2,,,,,,,,,,,,2,0,0,1,15,1,30,,2,2,,,,,,,,,,,
2274,3,2,,,,,,,,,,,,2,0,0,1,20,1,10,,2,2,,,,,,,,60,,1,0
2447,1,2,,,,,,,,,,,,2,0,0,2,17,1,21,,2,2,,,,,,,,65,28,1,0
2447,2,1,,,,,,,,,,,,1,1,0,2,16,1,10,,1,2,3,3,3,3,5,3,,60,37,1,0
2485,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
2577,1,2,,,,,,,,,,,,2,0,0,2,17,1,40,,2,2,,,,,,,,,,,
2579,1,2,,,,,,,,,,,,2,0,0,2,25,1,25,,1,2,5,4,4,5,4,4,,56,26,1,0
2579,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
2579,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
2579,4,1,,,,,,,,,,,,1,1,0,1,22,1,0.5,6,2,2,,,,,,,,,,,
2579,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2866,1,2,,,,,,,,,,,,2,0,0,4,19,1,27,,2,1,4,3,2,2,3,3,,65,36,2,6
2866,2,2,,,,,,1,,,,,,2,0,0,2,18,1,2,,2,2,,,,,,,,,,,
2866,3,1,,,,,,,,,,,,1,2,2,0,,,,,,,,,,,,,,,,,
2866,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2866,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2875,1,2,,,,,,,,,,,,2,0,0,2,13,1,40,,2,2,,,,,,,,,,,
2875,2,2,,,,,,,,,,,,2,0,0,1,18,1,8,,2,2,,,,,,,,,,,
2875,3,2,,,,,,,,,,,,2,0,0,1,25,1,21,,2,2,,,,,,,,60,,1,0
2886,1,2,,,,,,,,,,,,2,0,0,1,26,1,21,,2,2,,,,,,,,60,,1,0
2886,2,2,,,,,,,,,,,,2,0,0,1,21,1,23,,2,2,,,,,,,,60,,1,0
2886,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2886,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2963,1,2,,,,,,,,,,,,2,0,0,1,10,1,35,,2,2,,,,,,,,,,,
2963,2,2,,,,,,,,,,,,2,0,0,1,15,1,20,,2,2,,,,,,,,,,,
2970,1,2,,,,,,,,,,,,2,0,0,1,15,1,27,,2,2,,,,,,,,55,,1,0
2970,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
2970,3,2,,,,,,,,,,,,2,0,0,1,19,1,4,,2,2,,,,,,,,60,,1,0
2970,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
2970,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
3078,1,2,,,,,,,,,,,,2,0,0,1,14,1,16,,2,2,,,,,,,,65,,1,0
3078,2,2,,,,,,,,,,,,2,0,0,1,14,2,0,0,2,2,,,,,,,,,,,
3166,1,2,,,,,,,,,,,,2,0,0,5,12,1,38,,2,2,,,,,,,,57,31,2,10
3166,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3166,3,1,,,,,,,,,,,,2,0,0,2,19,2,0,0,2,2,,,,,,,,,22,1,0
3166,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
3166,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
3193,1,2,,,,,,,,,,,,2,0,0,1,16,1,12,,2,2,,,,,,,,65,,2,8
3193,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3203,1,2,,,,,,,,,,,,2,0,0,3,12,1,35,,1,2,2,3,3,3,3,1,,,,,
3203,2,1,,,,,,,,,,,,2,0,0,5,28,1,5,,2,2,,,,,,,,65,34,1,0
3204,1,2,,,,,,,,,,,,2,0,0,7,15,1,12,,2,2,,,,,,,,70,31,2,1
3204,2,2,,,,,,,,,,,,2,0,0,3,18,1,6,,2,2,,,,,,,,57,25,2,3
3299,1,2,,,,,,,,,,,,2,0,0,3,14,1,28,,2,2,,,,,,,,65,29,2,3
3299,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3299,3,1,,,,,,,,,,,,1,1,0,2,22,1,2,,2,2,,,,,,,,,,,
3299,4,1,,,,,,,,,,,,1,1,0,2,20,1,2,,2,2,,,,,,,,60,25,1,0
3299,5,1,,,,,,,,,,,,1,2,1,1,22,1,0.3333333333,4,2,2,,,,,,,,,,,
3389,1,2,,,,,,,,,,,,2,0,0,2,12,1,38,,2,2,,,,,,,,,,,
3389,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3663,1,2,,,,,,,,,,,,2,0,0,2,28,1,37,,2,2,,,,,,,,,,,
3663,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3717,1,2,1,,,,,,,,,,,1,3,3,11,16,1,3,,1,2,3,3,3,3,3,3,,,,,
3717,2,2,,,,,,,,,,,,2,0,0,2,,1,,,2,2,,,,,,,,,,,
3717,3,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3905,1,2,,,,,,,,,,,,2,0,0,2,14,1,28,,2,2,,,,,,,,,,,
3905,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
3905,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4236,1,2,,,,,,,,,,,,2,0,0,1,17,1,,,2,2,,,,,,,,,,,
4238,1,2,,,,,,,,,,,,2,0,0,3,8,1,24,,1,2,3,5,5,5,5,3,,,,,
4238,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4266,1,2,,,,,,,,,,,,2,0,0,2,15,1,35,,2,2,,,,,,,,,,,
4266,2,2,,,,,,1,,,,,,2,0,0,1,22,1,5,,1,2,5,5,5,5,5,5,,,,,
4266,3,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4266,4,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4266,5,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4266,6,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4266,7,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4297,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4297,2,2,,,,,,,,,,,,2,0,0,4,10,1,30,,2,2,,,,,,,,,,,
4304,1,1,,,,,,,,,,,,2,0,0,2,14,1,17,,2,2,,,,,,,,60,48,1,0
4304,2,1,,,,,,,,,,,,2,0,0,2,20,1,8,,2,2,,,,,,,,65,26,1,0
4304,3,1,,,,,,,,,,,,2,0,0,3,16,1,5,,1,2,3,4,4,3,4,3,,65,19,2,7
4370,1,2,,,,,,,,,,,,2,0,0,2,22,1,24,,2,2,,,,,,,,55,23,1,0
4370,2,2,,,,,,,,,,,,2,0,0,3,20,1,10,,2,2,,,,,,,,60,28,1,0
4370,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4370,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4507,1,2,,,,,,,,,,,,2,0,0,1,18,1,42,,2,2,,,,,,,,,,,
4507,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4704,1,2,,,,,,,,,,,,2,0,0,1,8,1,36,,2,2,,,,,,,,,,,
4704,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4704,3,1,,,,,,,,,,,,2,0,0,1,15,2,0,0,1,2,,,,,,,,,,,
4730,1,2,,,,,,,,,,,,2,0,0,2,10,1,22,,2,2,,,,,,,,65,18,1,0
4730,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4730,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4732,1,2,,,,,,,,,,,,2,0,0,4,17,1,15,,2,2,,,,,,,,65,36,1,0
4732,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4732,3,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4732,4,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4939,1,2,,,,,,,,,,,,2,0,0,1,27,1,23,,2,2,,,,,,,,65,,1,0
4939,2,2,,,1,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
4939,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4939,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
4939,5,2,,,,,,,,,,,,2,0,0,1,10,1,35,,2,2,,,,,,,,,,,
4941,1,2,,,,,,,,,,,,2,0,0,3,20,1,5,,2,1,3,3,3,3,3,3,,,,,
4941,2,2,,,,,,,,,,,,2,0,0,1,21,1,16,,2,2,,,,,,,,60,,1,0
5027,1,2,,,,,,,,,,,,2,0,0,1,20,1,7,,2,2,,,,,,,,55,,1,0
5027,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
5027,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5027,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5028,1,2,,,,,,,,,,,,2,0,0,2,17,1,32,,2,2,,,,,,,,60,25,1,0
5028,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
5028,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
5028,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
5028,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5028,6,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5416,1,2,,,,,,,,,,,,2,0,0,2,15,1,4,,2,2,,,,,,,,60,33,2,20
5416,2,2,,,,,,,,,,,,2,0,0,5,14,1,20,,2,2,,,,,,,,65,31,2,20
5416,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5686,1,2,,,,,,,,,,,,2,0,0,2,16,1,35,,2,2,,,,,,,,,,,
5686,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
5686,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5686,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5686,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
5697,1,2,,,,,,,,,,,,2,0,0,1,20,1,20,,2,2,,,,,,,,65,,1,0
5697,2,2,1,,,,,,,,,,,2,0,0,2,17,1,6,,2,2,,,,,,,,,,,
5816,1,2,,,,,,,,,,,,2,0,0,1,16,1,43,,2,1,1,4,4,4,3,3,,,,,
5816,2,2,,,,,,,,,,,,2,0,0,1,16,1,10,,2,2,,,,,,,,,,,
6013,1,2,,,,,,,,,,,,2,0,0,1,10,1,20,,2,2,,,,,,,,,,,
6090,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
6090,2,1,,,,,,,,,,,,2,0,0,3,19,1,8,,1,2,3,3,3,3,4,1,,60,19,1,0
6107,1,2,1,,,,,,,,,,,2,0,0,4,12,1,20,,2,2,,,,,,,,,,,
6107,2,2,,,,,,,,,,,,2,0,0,5,14,1,3,,1,2,3,5,2,1,3,1,,55,26,1,0
6107,3,2,,,,,,,,,,,,2,0,0,2,14,1,4,,1,2,3,5,3,1,3,1,,55,21,2,90
6110,1,2,,,,,,,,,,,,2,0,0,1,26,1,28,,2,2,,,,,,,,56,,2,3
6110,2,2,,,,,,,,,,,,2,0,0,1,19,1,20,,2,2,,,,,,,,,,,
6110,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
6110,6,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
6501,1,2,,,,,,,,,,,,1,1,1,4,22,1,29,,2,2,,,,,,,,57,27,1,0
6501,2,2,,,,,,1,,,,,,2,0,0,3,18,1,9,,2,2,,,,,,,,,,,
6522,1,2,,,1,,,,,,,,,2,0,0,6,14,1,12,,1,2,3,3,3,2,4,3,,,,,
6522,2,2,,,,,,,,,,,,2,0,0,3,14,1,17,,2,2,,,,,,,,55,22,1,0
7015,1,2,,,,,,,,,,,,2,0,0,2,11,1,37,,2,2,,,,,,,,55,30,1,0
7015,2,2,,,1,,,,,,,,,2,0,0,1,13,1,7,,2,2,,,,,,,,,,,
7016,1,2,,,,,,,,,,,,2,0,0,1,13,2,0,0,2,2,,,,,,,,,,,
7089,1,2,,,,,,,,,,,,2,0,0,1,14,1,23,,2,2,,,,,,,,65,,1,0
7089,2,2,,,,,,,,,,,,2,0,0,1,14,1,35,,2,2,,,,,,,,,,,
7089,3,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
7091,1,2,,,,,,,,,,,,2,0,0,1,17,1,37,,2,2,,,,,,,,,,,
7091,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
7091,3,2,,,,,,,,,,,,2,0,0,1,17,1,9,,2,2,,,,,,,,55,,2,15
7097,1,2,,,,,,,,,,,,2,0,0,2,,1,21,,2,2,,,,,,,,44,18,2,15
7097,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
7097,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
7098,1,2,,,,,,,,,,,,2,0,0,1,12,1,34,,2,2,,,,,,,,55,,1,0
7098,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
7098,3,2,,,,,,,1,,,,,2,0,0,1,19,1,2,,1,2,3,2,5,5,4,5,,,,,
7155,1,2,,,,,,,,,,,,2,0,0,3,21,1,33,,1,2,3,2,2,1,1,2,,65,47,2,5
7155,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
7155,3,1,,,,,,,,,,,,1,2,1,3,21,1,0.5,6,1,2,3,3,3,3,3,3,,65,22,1,0
7155,4,1,,,,,,,,,,,,1,1,1,1,19,2,0,0,2,2,,,,,,,,,,,
7160,1,2,,,,,,,,,,,,2,0,0,3,14,1,35,,2,2,,,,,,,,,,,
7160,2,2,1,,,,,,,,,,,2,0,0,3,14,1,20,,2,2,,,,,,,,,,,
7160,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
7165,1,1,,,,,,,,,,,,1,5,4,5,15,1,25,,2,2,,,,,,,,55,39,1,0
7165,2,2,,,,,,,,,,,,2,0,0,2,15,1,15,,2,2,,,,,,,,65,33,2,5
7165,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
7166,1,2,,,,,,,,,,,,2,0,0,3,14,1,36,,2,2,,,,,,,,,,,
7166,2,2,,,,,,,,,,,,2,0,0,3,14,1,30,,2,2,,,,,,,,57,42,2,15
7166,3,2,,,,,,,,,,,,1,2,2,1,28,1,1,,2,2,,,,,,,,65,,2,2
7781,1,2,,,,,,,,,,,,2,0,0,2,11,1,25,,2,2,,,,,,,,,,,
